drug_a,drug_b,severity,mechanism,clinical_effect,management
warfarin,aspirin,major,Aspirin inhibits platelet aggregation via COX-1; also displaces warfarin from plasma proteins increasing free warfarin levels,Significantly increased bleeding risk including gastrointestinal and intracranial haemorrhage,Avoid combination if possible; if concurrent use necessary monitor INR closely and consider gastroprotection with PPI; use lowest effective aspirin dose
metformin,iodinated contrast media,major,Contrast-induced nephropathy can reduce renal clearance of metformin leading to accumulation and lactic acidosis,Lactic acidosis — potentially fatal; risk highest with pre-existing renal impairment,Withhold metformin 48 hours before and after contrast administration; restart only after confirming renal function is unchanged
SSRIs,MAOIs,contraindicated,SSRIs increase serotonergic neurotransmission; MAOIs prevent serotonin breakdown; combined effect causes massive serotonin accumulation,Serotonin syndrome — hyperthermia agitation myoclonus hyperreflexia diaphoresis potentially fatal,Absolute contraindication; allow washout of at least 14 days after stopping MAOI before starting SSRI; 5 weeks after fluoxetine due to long half-life
simvastatin,clarithromycin,major,Clarithromycin inhibits CYP3A4 which metabolises simvastatin; elevated statin plasma levels,Myopathy and rhabdomyolysis with acute kidney injury,Avoid combination; use pravastatin or rosuvastatin which are not CYP3A4 substrates; if macrolide essential temporarily suspend statin
warfarin,fluconazole,major,Fluconazole inhibits CYP2C9 the primary enzyme responsible for warfarin metabolism,Markedly elevated INR and bleeding risk within 2-3 days of starting fluconazole,Monitor INR closely; consider empirical warfarin dose reduction of 25-50% during fluconazole course; review INR 3-5 days after stopping antifungal
methotrexate,NSAIDs,major,NSAIDs reduce renal tubular secretion of methotrexate increasing plasma levels,Methotrexate toxicity — mucositis bone marrow suppression hepatotoxicity,Avoid concurrent use; if unavoidable monitor FBC and renal function closely; ensure adequate hydration; reduce NSAID duration to minimum
lithium,thiazide diuretics,major,Thiazides reduce renal sodium and lithium excretion increasing lithium reabsorption,Lithium toxicity — tremor confusion polyuria polydipsia cardiac arrhythmia,Avoid if possible; if combination necessary reduce lithium dose by 50% and monitor lithium levels weekly initially
ACE inhibitors,potassium-sparing diuretics,moderate,Additive effects on potassium retention via different mechanisms — ACEi reduces aldosterone production; spironolactone antagonises aldosterone receptor,Hyperkalaemia — potentially causing fatal cardiac arrhythmia,Monitor serum potassium 1-2 weeks after initiation and after any dose change; avoid combination in patients with baseline hyperkalaemia or renal impairment
fluoxetine,tramadol,major,Fluoxetine inhibits CYP2D6 reducing tramadol metabolism to active M1 metabolite; also pharmacodynamic serotonergic interaction,Serotonin syndrome; also seizure risk; reduced analgesic effect if M1 production impaired,Avoid combination; use alternative opioid analgesic if required; if concurrent use unavoidable monitor closely for serotonin syndrome signs
digoxin,amiodarone,major,Amiodarone inhibits P-glycoprotein and CYP3A4 reducing digoxin clearance and increasing plasma levels,Digoxin toxicity — nausea vomiting bradycardia heart block arrhythmia,Reduce digoxin dose by 50% when starting amiodarone; monitor ECG and digoxin levels; titrate dose carefully
ciprofloxacin,theophylline,moderate,Ciprofloxacin inhibits CYP1A2 which metabolises theophylline,Theophylline toxicity — nausea vomiting seizures arrhythmia; levels may double,Monitor theophylline levels before starting ciprofloxacin; reduce theophylline dose by approximately 50% and recheck levels at 2-3 days
